t,x,y,z,yaw_deg,quality,lidar_hz,pose_hz,localmap_n,raw_n,tf_ok,pose_age_s,icp_fail_n
73.104,0.003252,-0.002314,-0.000093,0.025,0.9887,13.020,4.975,1747,86400,1,0.340,0
73.536,0.003174,-0.002196,-0.001503,0.017,0.9899,16.790,3.885,1747,82656,1,0.103,0
73.952,0.003182,-0.001692,0.000025,0.005,0.9875,9.006,3.628,1747,86304,1,0.334,0
74.368,0.003345,-0.001924,-0.000629,0.026,0.9909,15.559,2.464,1747,82656,1,0.313,0
74.773,0.002445,-0.002362,-0.001072,0.030,0.9844,15.560,3.832,1747,86400,1,0.035,0
75.174,0.001509,-0.002365,-0.000744,0.034,0.9910,21.128,4.704,1747,86304,1,0.041,0
75.575,0.002113,0.000211,-0.000433,-0.010,0.9933,17.215,4.666,1747,86400,1,0.028,0
76.023,0.002084,-0.000306,-0.000176,0.009,0.9886,21.954,6.359,1747,86304,1,0.081,0
76.428,0.003135,-0.001163,-0.000521,0.013,0.9932,17.745,7.394,1747,86400,1,0.181,0
76.877,0.001749,-0.000075,-0.002141,-0.007,0.9809,16.912,6.091,1747,86400,1,0.116,0
77.277,0.002673,0.000311,-0.000576,0.007,0.9853,15.561,6.073,1747,86400,1,0.247,0
77.701,0.003284,-0.001353,-0.001415,0.005,0.9853,13.699,5.530,1747,86400,1,0.161,0
78.120,0.003657,-0.001626,0.000233,0.035,0.9842,15.573,5.290,1747,86304,1,0.093,0
78.524,0.003261,-0.001258,-0.001631,0.019,0.9854,18.112,6.542,1747,86400,1,0.082,0
78.931,0.002350,-0.000706,-0.001486,0.012,0.9887,14.218,6.074,1747,86304,1,0.091,0
79.331,0.002963,-0.001694,-0.002113,0.028,0.9888,17.773,5.870,1747,86400,1,0.193,0
79.732,0.003065,-0.000491,-0.002046,-0.001,0.9866,17.909,6.770,1747,86400,1,0.104,0
80.132,0.002115,0.000744,-0.000308,-0.002,0.9832,13.530,6.177,1747,86400,1,0.085,0
80.542,0.002555,-0.001017,-0.000840,0.015,0.9798,19.401,6.254,1747,86400,1,0.103,0
80.971,0.002937,-0.000806,-0.001573,0.005,0.9832,17.840,6.678,1747,86304,1,0.036,0
81.372,0.002938,-0.001456,-0.000636,0.019,0.9884,13.498,6.821,1747,86400,1,0.045,0
81.774,0.002617,-0.001191,-0.001644,0.009,0.9033,17.650,5.937,1747,86400,1,0.091,0
82.202,0.003077,0.000175,-0.001077,0.008,0.9920,11.024,5.297,1747,86400,1,0.063,0
82.611,0.002540,-0.000881,-0.001595,-0.001,0.9890,18.043,5.015,1747,86400,1,0.181,0
83.012,0.003091,-0.000524,-0.001601,0.017,0.9836,15.815,5.199,1747,82656,1,0.051,0
83.420,0.002523,-0.001049,-0.000554,0.018,0.9844,19.681,6.026,1747,86400,1,0.077,0
83.820,0.003156,-0.000989,-0.001741,0.015,0.9876,19.162,6.356,1747,86400,1,0.092,0
84.221,0.003452,-0.000337,-0.001254,0.016,0.9887,17.449,6.425,1747,86400,1,0.273,0
84.624,0.002885,-0.000734,-0.000744,0.006,0.9921,13.135,5.513,1747,86400,1,0.082,0
85.027,0.010400,0.001059,-0.000221,0.024,0.9808,12.651,4.620,1747,86400,1,0.044,0
85.431,0.015784,-0.000710,-0.003651,0.031,0.9164,18.255,4.338,1747,86400,1,0.382,0
85.871,0.092389,0.000957,0.000397,0.053,0.6126,16.019,2.765,1747,86400,1,0.115,0
86.273,0.141201,0.002559,0.004413,-0.073,0.6299,13.172,3.682,1747,86400,1,0.103,0
86.678,0.141201,0.002559,0.004413,-0.073,0.6299,18.900,4.127,1747,86400,1,0.507,0
87.079,0.219629,0.004141,-0.000270,0.036,0.6877,12.582,2.389,1747,82560,1,0.067,0
87.493,0.259015,0.005724,-0.003784,0.013,0.9687,15.861,2.514,1747,86400,1,0.145,0
87.924,0.297238,0.009174,-0.003091,0.021,0.7247,18.087,3.253,1747,86400,1,0.035,0
88.324,0.297238,0.009174,-0.003091,0.021,0.7247,13.593,4.566,1747,86400,1,0.436,0
88.725,0.373444,0.011705,0.000052,-0.019,0.7955,16.338,3.073,1747,86400,1,0.086,0
89.127,0.429187,0.019259,-0.000967,-0.119,0.9251,13.268,4.052,2378,86400,1,0.051,0
89.571,0.464055,0.023733,-0.001104,-0.028,0.7774,14.796,4.845,2378,86400,1,0.191,0
89.973,0.500126,0.021632,-0.005061,-0.089,0.8365,17.752,6.563,2378,86304,1,0.267,0
90.376,0.569825,0.018319,-0.005832,2.078,0.7874,20.687,5.935,2378,82656,1,0.052,0
90.793,0.584540,0.014981,-0.004490,2.125,0.9796,14.595,6.158,2378,86400,1,0.403,0
91.193,0.650517,0.025376,-0.004269,9.302,0.6757,15.299,4.290,2378,86400,1,0.129,0
91.610,0.691822,0.032386,0.000490,9.166,0.7123,16.536,3.379,2378,86400,1,0.129,0
92.026,0.691822,0.032386,0.000490,9.166,0.7123,13.609,3.498,2711,86400,1,0.544,0
92.445,0.747003,0.040358,-0.001049,9.499,0.7882,12.386,1.789,2711,86400,1,0.264,0
92.852,0.803645,0.045942,0.000436,9.577,0.9971,12.517,2.531,2711,86400,1,0.208,0
93.253,0.861635,0.043458,0.000194,9.914,0.9777,13.320,3.398,2711,86400,1,0.006,0
93.655,0.880693,0.043247,0.001829,10.083,0.6239,14.239,5.491,2711,86400,1,0.199,0
94.076,0.940777,0.058207,0.002904,9.602,0.9860,18.843,5.366,2926,82656,1,0.031,0
94.490,0.968606,0.065202,0.004424,9.673,0.7308,18.352,5.800,2926,86400,1,0.122,0
94.895,1.019471,0.075022,0.005196,9.632,0.7391,16.058,5.452,2926,86400,1,0.031,0
95.297,1.019471,0.075022,0.005196,9.632,0.7391,17.041,5.217,2926,86400,1,0.433,0
95.704,1.019471,0.075022,0.005196,9.632,0.7391,20.251,4.451,2926,86400,1,0.840,0
96.122,1.132279,0.097328,0.003592,9.838,0.9612,13.345,4.508,2926,82656,1,0.083,0
96.523,1.177552,0.105752,0.006743,9.797,0.6426,11.972,4.106,2926,86400,1,0.069,0
96.925,1.218439,0.117149,0.006664,9.698,0.9671,13.141,6.809,2926,86304,1,0.044,0
97.332,1.236785,0.120314,0.004994,9.466,0.9883,16.366,6.899,3102,86400,1,0.176,0
97.752,1.274848,0.127392,0.007499,9.655,0.6092,16.068,5.916,3102,86400,1,0.197,0
98.171,1.331342,0.138387,0.003077,14.745,0.9245,16.334,5.509,3102,86400,1,0.083,0
98.575,1.363032,0.142117,0.001299,15.421,0.7260,14.345,5.656,3102,86400,1,0.031,0
98.977,1.370712,0.140817,0.002678,18.029,0.8380,13.067,5.397,3102,86400,1,0.086,0
99.390,1.365744,0.136932,0.000440,18.293,0.8486,13.264,5.562,3251,86400,1,0.397,0
99.797,1.398682,0.144069,0.003719,18.760,0.8296,13.142,5.572,3251,86400,1,0.345,0
100.206,1.461237,0.158326,-0.000686,15.952,0.9982,13.131,3.915,3251,86400,1,0.071,0
100.631,1.480010,0.161927,0.006663,15.780,1.0000,13.121,3.563,3251,86400,1,0.188,0
101.032,1.525251,0.179580,0.010136,12.363,0.7812,16.554,3.324,3251,82656,1,0.075,0
101.449,1.571967,0.203142,0.010748,12.016,0.8489,14.722,3.640,3251,86400,1,0.074,0
101.885,1.595460,0.220813,0.009359,11.951,0.8268,19.307,5.619,3251,86400,1,0.327,0
102.291,1.662398,0.253535,0.005950,8.976,0.8417,21.520,5.132,3251,86400,1,0.094,0
102.717,1.662398,0.253535,0.005950,8.976,0.8417,17.088,5.643,3251,86400,1,0.520,0
103.119,1.737118,0.275080,0.016749,7.925,0.8813,17.211,4.240,3335,86400,1,0.213,0
103.531,1.799306,0.292629,0.010305,7.548,0.8058,18.612,2.558,3335,86400,1,0.018,0
103.944,1.818048,0.301884,0.007882,6.840,0.8078,13.362,2.394,3335,86304,1,0.265,0
104.373,1.867610,0.324894,0.012113,6.917,0.9081,13.731,3.442,3335,86400,1,0.306,0
104.776,1.932213,0.336539,0.009874,6.742,0.8832,14.311,2.971,3335,86400,1,0.187,0
105.211,1.974526,0.349602,0.010373,6.450,0.8528,14.617,3.395,3392,86400,1,0.225,0
105.619,2.023437,0.366584,0.002926,5.989,0.8509,15.406,3.661,3392,86400,1,0.027,0
106.042,2.101430,0.382589,0.014183,6.714,0.8831,14.787,4.455,3392,82656,1,0.179,0
106.451,2.159056,0.394757,0.011308,6.879,0.8607,14.525,5.386,3392,86400,1,0.192,0
106.874,2.216085,0.405171,0.009343,6.672,0.7976,13.971,4.844,3392,86400,1,0.030,0
107.305,2.247363,0.414455,0.006649,6.660,0.8686,13.529,6.010,3432,86400,1,0.130,0
107.725,2.272515,0.421960,0.007160,6.518,0.8792,14.112,4.936,3432,86400,1,0.170,0
108.128,2.318212,0.432438,0.010007,6.038,0.8387,14.657,3.835,3432,86400,1,0.044,0
108.533,2.318212,0.432438,0.010007,6.038,0.8387,14.839,4.835,3432,86400,1,0.448,0
108.940,2.318212,0.432438,0.010007,6.038,0.8387,16.714,4.469,3432,86304,1,0.855,0
